epoch,train_loss,val_loss,recall,precision,ndcg,time
1,0.6907200433991172,0.6894993185997009,0.1113683459720045,0.06199186991869919,0.0994181876074787,0.5680439472198486
2,0.6875427690419283,0.6850369572639465,0.19908520792667134,0.10467479674796748,0.17349141900190437,0.22404742240905762
3,0.681681828065352,0.6771053671836853,0.247155734960613,0.12540650406504067,0.2129060356870725,0.2121272087097168
4,0.6718055931004611,0.6638815402984619,0.26729455052625783,0.13130081300813007,0.22577135545726426,0.21242547035217285
5,0.6565502502701499,0.6460436582565308,0.2713840585791805,0.13373983739837397,0.23475738112413613,0.22081255912780762
6,0.6343580321832136,0.6205726265907288,0.26314340582633267,0.13008130081300814,0.2302283192863406,0.22865653038024902
7,0.6062699447978627,0.5911018252372742,0.2591199845773017,0.12865853658536586,0.22881994185108526,0.21663999557495117
8,0.573422139341181,0.5530644059181213,0.25558639079980544,0.1274390243902439,0.22671400344977163,0.21468305587768555
9,0.5359336788004095,0.5169318318367004,0.2502776920459847,0.125,0.22362473967223173,0.23662376403808594
10,0.500597661191767,0.4786489009857178,0.24848902226951003,0.12378048780487806,0.22040129022248708,0.21105456352233887
11,0.4641907973722978,0.4464837610721588,0.24416097114267846,0.12134146341463416,0.21897269534642702,0.21106219291687012
12,0.4317516576160084,0.4167773127555847,0.24211715903789072,0.12073170731707317,0.21697067771710307,0.20984435081481934
13,0.39941091158173303,0.3845478594303131,0.2400677010433108,0.12032520325203253,0.21610022923488537,0.217329740524292
14,0.3812706064094197,0.35795456171035767,0.23996761481517576,0.11991869918699187,0.21633177022344127,0.2183675765991211
15,0.35743196173147723,0.3448893129825592,0.23942238317238315,0.11991869918699187,0.2161026435401697,0.21786117553710938
