Model,P@5,P@10,R@5,R@10,NDCG@5,NDCG@10,MAP@10,HR@10,Coverage
Popularity,0.011562115621156211,0.011316113161131612,0.007003932924680909,0.012607514846765568,0.011348731881051637,0.012550710466137522,0.004635680715272761,0.08118081180811808,0.0034056508577194754
Highest Avg Rating,0.000984009840098401,0.0006560065600656007,0.0005534202028666973,0.0006668752038117496,0.0011668986122759612,0.0009651435628825135,0.0003880151896757063,0.006560065600656006,0.0015136226034308778
Random,0.0009020090200902009,0.0009020090200902009,0.0007221190954278286,0.0013186202743760086,0.0009302432769401442,0.0011845555826252322,0.0004540280191161699,0.009020090200902008,0.9549697275479314
ItemCF,0.057236572365723666,0.05350553505535055,0.03237746144164295,0.06103734744514032,0.0592330767486863,0.06313282055841266,0.027531375475949263,0.32636326363263635,0.11957618567103935
SVD,0.057072570725707254,0.054571545715457165,0.03210142260248125,0.061258890980538806,0.059256367873828805,0.06380920995718102,0.027902820957851807,0.32718327183271834,0.10027749747729565
LightGCN,0.06510865108651087,0.06096760967609677,0.03896101207743674,0.07171186971743143,0.06901614257284468,0.07353569415558442,0.0329442359301396,0.36080360803608036,0.04263370332996973
